product_name,actual_stocks,tempo_stocks,price,with_variation,sold,description,min_orders,product_image,created,id,category_id,wholesaler_id
Coca-Cola Classic,150,150,55,0,1200,"The taste of the classic Coca-Cola has remained unchanged for more than 130 years and designed to go with everything. Carbonated Water, Sugar, Colour (Caramel 150d), Food Acid (338), Flavour, Caffeine. Contains Caffeine.",12,products/cocaCola.jpg,2023-03-13,T6Z9L,1de96e9d-d0c1-48c4-82ec-f1cd1555198e,4
Pepsi Max,150,150,120,0,1200,"Pepsi MAX is the fizz-popping, taste rocking, sugar free cola - bursting with taste and bold refreshment. The perfect drink for fun times together, at home or on the go! ",12,products/pepsiMax.jpg,2023-03-13,X2K8B,1de96e9d-d0c1-48c4-82ec-f1cd1555198e,4
Sprite Zero,425,425,95,0,1200,The iconic great taste of Sprite with zero sugar. A lemon-lime soda with 100% natural flavors. Sprite Zero Sugar is a diet Sprite with no sugar. ,12,products/spriteZero.jpg,2023-03-13,M5N9H,1de96e9d-d0c1-48c4-82ec-f1cd1555198e,4
Fanta Orange,200,200,120,0,1200,"Bright, bubbly, instantly refreshing and great tasting. Fanta Orange is made with 100% natural flavours, fruit juice and is caffeine free.",12,products/fanta.jpg,2023-03-13,B8J6F,1de96e9d-d0c1-48c4-82ec-f1cd1555198e,4
Mountain Dew Voltage,425,425,80,0,1200,"Voltage is a Blue Raspberry flavor of Mountain Dew. It's similar to another Dew flavor, which has a similar shade of Blue Raspberry flavor, Blue Shock. Its color has a blue look. Perfect for the office fridge, home fridge, or entice your friends with a Mountain dew at your next barbecue!",12,products/mountainDew.jpg,2023-03-13,9L3X5,1de96e9d-d0c1-48c4-82ec-f1cd1555198e,4
Dr. Pepper Cherry,300,300,75,0,1200,Carbonated non-alcoholic drink with cherry flavor. Dr Pepper Cherry blends an original recipe of 23 signature flavors with a sweet addition of rich cherry to make a deliciously unique beverage.,12,products/drPepper.jpg,2023-03-13,S8R6D,1de96e9d-d0c1-48c4-82ec-f1cd1555198e,4
Red Bull Energy Drink,300,300,95,0,1200,"Red Bull is a utility drink to be taken against mental or physical weariness or exhaustion. Red Bull combines two natural substances and important metabolic transmitters - the amino acid taurine and the glucuronolactone - with stimulating caffeine, vitamins and the energy provided by carbohydrates.",12,products/redBull.jpg,2023-03-13,C3T7V,1de96e9d-d0c1-48c4-82ec-f1cd1555198e,4
Monster Energy Ultra Sunrise,425,425,120,0,1200,"REFRESHING TASTE | Light, crisp, and refreshing with a flavor all its own, Monster Ultra Sunrise offers a sparkling citrus and orange flavor. Ultra Sunrise is great for any occasion.",12,products/sunrise.jpg,2023-03-13,7Z6P8,1de96e9d-d0c1-48c4-82ec-f1cd1555198e,4
Gatorade Glacier Freeze,275,275,75,0,1200,"Gatorade Frost® Glacier Freeze™ Sports Drink is scientifically proven to rehydrate lost fluids, replenish electrolytes lost in sweat, and refuel working muscles with carbohydrates. Crisp flavour. This 710 mL bottle is specially designed for athletes who want to be at their best in the gym, at practice, and in games.",12,products/gatorade.jpg,2023-03-13,F9K7T,1de96e9d-d0c1-48c4-82ec-f1cd1555198e,4
Powerade Mountain Berry Blast,500,500,80,0,1200,"POWERADE is equipped with the unique ION4 Advanced Electrolyte System that helps replace the four electrolytes lost when you sweat: sodium, potassium, calcium and magnesium.",12,products/powerade.png,2023-03-13,H2D6J,1de96e9d-d0c1-48c4-82ec-f1cd1555198e,4
